id,nombre,telefono,correo,activo
1,José López,6466042180,jose.lopez1162@gmail.com,True
2,Sofía Morales,6463554647,sofia.morales9923@gmail.com,True
3,Laura Cruz,6465594874,laura.cruz9362@gmail.com,True
4,Fernanda Cruz,6466660054,,True
5,María Díaz,6460732091,,False
6,Andrés Hernández,6465660673,andres.hernandez8962@gmail.com,True
7,Raúl Hernández,6464983159,raul.hernandez3603@gmail.com,False
8,Valeria Jiménez,6466414478,,True
9,Raúl Cruz,6460242834,raul.cruz814@gmail.com,True
10,Luis Torres,6465940130,luis.torres5655@gmail.com,True
11,Fernanda González,6464100766,fernanda.gonzalez3939@gmail.com,True
12,Sergio Gómez,6461253775,sergio.gomez4926@gmail.com,True
13,Patricia Gómez,6469085951,patricia.gomez4050@gmail.com,True
14,Diana Morales,6466114699,diana.morales3751@gmail.com,True
15,Andrés Cruz,6465048965,andres.cruz5692@gmail.com,True
16,Miguel Morales,6466746702,miguel.morales5577@gmail.com,True
17,Carlos López,6463294589,carlos.lopez5182@gmail.com,True
18,Luis Castro,6464759148,luis.castro6028@gmail.com,True
19,María Ramírez,6464502495,maria.ramirez7188@gmail.com,True
20,Jorge López,6467701075,,True
21,Laura López,6468895491,laura.lopez7839@gmail.com,True
22,Fernanda Castro,6466970009,fernanda.castro1864@gmail.com,False
23,Ana Gómez,6467640045,,True
24,Carlos Vargas,6465726970,carlos.vargas7178@gmail.com,False
25,Camila Ramírez,6468522333,,True
26,Laura Vargas,6469467470,laura.vargas872@gmail.com,True
27,Lucía Ruiz,6463542554,lucia.ruiz827@gmail.com,True
28,Sofía Castro,6464387122,,True
29,Andrés Martínez,6462737027,andres.martinez7327@gmail.com,True
30,Fernanda Rojas,6465888003,fernanda.rojas3294@gmail.com,True
31,Sofía García,6460421442,,False
32,Lucía Pérez,6465235195,lucia.perez6437@gmail.com,True
33,Andrés Díaz,6462282243,andres.diaz3932@gmail.com,False
34,Miguel Flores,6469345859,,True
35,Ana Torres,6462292737,,True
36,Miguel Castro,6467671083,miguel.castro3793@gmail.com,True
37,José Sánchez,6461927980,jose.sanchez5387@gmail.com,True
38,Luis Sánchez,6466671733,luis.sanchez7801@gmail.com,True
39,Camila Morales,6460938579,camila.morales4568@gmail.com,True
40,Ricardo Gómez,6464706648,ricardo.gomez4969@gmail.com,True
41,Carlos Sánchez,6463008538,,True
42,Sergio Rojas,6463058679,,True
43,Ricardo Ruiz,6460340161,ricardo.ruiz7119@gmail.com,True
44,José Díaz,6461590273,,True
45,Ricardo García,6468634032,,True
46,Fernanda Hernández,6464558167,fernanda.hernandez9903@gmail.com,True
47,Lucía Hernández,6466833015,lucia.hernandez1382@gmail.com,True
48,Jorge Rodríguez,6467569446,jorge.rodriguez4382@gmail.com,True
49,José Rojas,6468774171,,True
50,Ana Sánchez,6460969706,,True
51,Camila González,6466157393,camila.gonzalez9442@gmail.com,True
52,Héctor Vargas,6461482577,,True
53,Andrés Rodríguez,6462006287,,True
54,Raúl García,6464433135,raul.garcia284@gmail.com,True
55,Héctor Morales,6466856087,hector.morales269@gmail.com,True
56,Laura Martínez,6468560083,laura.martinez6781@gmail.com,True
57,Ricardo Rodríguez,6460816138,ricardo.rodriguez848@gmail.com,True
58,Jorge Vargas,6462168352,jorge.vargas7064@gmail.com,True
59,Diana Gómez,6465918989,diana.gomez471@gmail.com,False
60,Raúl Rojas,6469636755,,True
61,Sofía Ruiz,6468191742,sofia.ruiz2501@gmail.com,True
62,Héctor Ramírez,6462102144,hector.ramirez4627@gmail.com,True
63,José Jiménez,6467396015,,True
64,Sofía Martínez,6469760747,sofia.martinez5288@gmail.com,True
65,Miguel Gómez,6462850318,miguel.gomez5695@gmail.com,True
66,Patricia García,6462214677,patricia.garcia798@gmail.com,True
67,María Rodríguez,6463057412,maria.rodriguez8520@gmail.com,False
68,Ricardo Martínez,6465004095,ricardo.martinez9018@gmail.com,True
69,Héctor Gómez,6467502637,hector.gomez9553@gmail.com,True
70,Miguel Pérez,6469874459,miguel.perez3206@gmail.com,True
71,Diana Hernández,6464411574,,True
72,Lucía Rojas,6466534844,lucia.rojas8990@gmail.com,True
73,Jorge Flores,6460033636,,True
74,Lucía Rojas,6466323157,lucia.rojas5491@gmail.com,True
75,Fernanda Sánchez,6469908435,fernanda.sanchez5695@gmail.com,True
76,Miguel Díaz,6469008658,miguel.diaz6020@gmail.com,True
77,Valeria Castro,6464144969,valeria.castro7887@gmail.com,True
78,Carlos Cruz,6460068481,carlos.cruz2787@gmail.com,True
79,Ricardo Martínez,6468642166,ricardo.martinez9848@gmail.com,True
80,Fernanda Morales,6466284352,fernanda.morales6252@gmail.com,True
81,Lucía Flores,6460538162,lucia.flores9386@gmail.com,True
82,Luis Vargas,6465899153,luis.vargas4330@gmail.com,True
83,Laura Jiménez,6469976618,laura.jimenez2039@gmail.com,True
84,Lucía Rodríguez,6466250780,lucia.rodriguez5052@gmail.com,True
85,Laura Morales,6465788323,laura.morales3880@gmail.com,True
