id,nombre,telefono,correo,activo
1,Raúl Jiménez,6462257870,,True
2,Sergio Díaz,6466442821,sergio.diaz5512@gmail.com,True
3,Carlos Flores,6464275263,carlos.flores7123@gmail.com,True
4,Patricia Rojas,6468544192,patricia.rojas6968@gmail.com,False
5,Sergio Díaz,6464443626,,True
6,Diana Castro,6462950267,,True
7,Luis González,6460775494,luis.gonzalez3547@gmail.com,False
8,Luis Vargas,6469170304,luis.vargas3905@gmail.com,True
9,Sergio Morales,6466230229,sergio.morales1495@gmail.com,True
10,Andrés Sánchez,6462199621,andres.sanchez5408@gmail.com,True
11,María Castro,6464880970,maria.castro1685@gmail.com,True
12,Sergio López,6469753415,sergio.lopez2041@gmail.com,True
13,Fernanda Torres,6460664952,fernanda.torres2796@gmail.com,True
14,Ricardo Cruz,6466957419,,False
15,Miguel García,6469772469,,True
16,José Sánchez,6464836659,jose.sanchez3723@gmail.com,True
17,Sergio López,6468399400,,True
18,Ana Ruiz,6461774667,,True
19,Luis López,6466821299,luis.lopez9145@gmail.com,True
20,José Castro,6468102580,jose.castro868@gmail.com,True
21,Miguel López,6463093984,miguel.lopez3324@gmail.com,True
22,Diana García,6467290999,diana.garcia8112@gmail.com,False
23,Luis Sánchez,6464177084,,False
24,Miguel López,6467102601,,True
25,Laura Rojas,6465489364,laura.rojas2571@gmail.com,True
26,María Pérez,6469839985,maria.perez1304@gmail.com,True
27,María Pérez,6460999464,maria.perez7489@gmail.com,True
28,Laura López,6465439026,laura.lopez8369@gmail.com,True
29,Jorge Morales,6468073618,jorge.morales8994@gmail.com,True
30,Miguel López,6465143318,miguel.lopez3601@gmail.com,True
31,Ricardo Ramírez,6466646394,ricardo.ramirez239@gmail.com,True
32,María Rojas,6462138778,maria.rojas9995@gmail.com,True
33,Lucía Morales,6467460283,lucia.morales9619@gmail.com,True
34,Laura Ruiz,6460941820,,True
35,Ricardo Gómez,6460871341,ricardo.gomez7546@gmail.com,True
36,Diana Sánchez,6467322124,,True
37,Raúl Morales,6464944084,raul.morales6416@gmail.com,True
38,Diana Rojas,6461285134,diana.rojas5292@gmail.com,True
39,Camila Ramírez,6464633331,camila.ramirez5118@gmail.com,True
40,Sofía García,6469850960,,True
41,Camila García,6467068396,camila.garcia2753@gmail.com,True
42,José Cruz,6463218489,,True
43,José Pérez,6469996693,,True
44,Sergio Torres,6462445389,sergio.torres4428@gmail.com,True
45,Patricia Morales,6462817236,,True
46,Andrés González,6465191077,andres.gonzalez8244@gmail.com,True
47,Fernanda Vargas,6465222405,,True
48,Héctor Ramírez,6467613441,hector.ramirez7009@gmail.com,False
49,Andrés Rojas,6460382580,,True
50,Lucía Ruiz,6464884317,lucia.ruiz7688@gmail.com,True
51,Patricia Sánchez,6469425688,,True
52,Ana Jiménez,6463265543,ana.jimenez2096@gmail.com,True
53,Sergio Ruiz,6467340508,,True
54,Ana López,6467175805,,True
55,Diana Ramírez,6465276619,,True
56,Ana Vargas,6466411605,,True
57,Valeria Torres,6464519929,valeria.torres2142@gmail.com,True
58,Andrés Flores,6461731936,andres.flores4223@gmail.com,True
59,Carlos Ramírez,6464867745,carlos.ramirez7694@gmail.com,True
60,Ricardo Cruz,6461331358,,True
61,Ricardo García,6460424622,ricardo.garcia6297@gmail.com,True
62,Ana Ruiz,6469121642,ana.ruiz9406@gmail.com,True
63,Lucía Flores,6466390234,,True
64,Fernanda García,6460787110,fernanda.garcia6414@gmail.com,False
65,Sergio Vargas,6462314189,sergio.vargas6512@gmail.com,True
66,Ricardo Flores,6468801564,,True
67,José Ramírez,6464592065,jose.ramirez6642@gmail.com,True
68,Fernanda Vargas,6466429703,fernanda.vargas5971@gmail.com,True
69,Miguel Gómez,6468632439,,False
70,Jorge Castro,6463494123,jorge.castro637@gmail.com,True
71,Carlos Rojas,6469762829,carlos.rojas7995@gmail.com,False
72,Raúl Flores,6462259489,raul.flores8686@gmail.com,True
73,José García,6467036215,,True
74,Luis García,6467018919,luis.garcia7500@gmail.com,True
75,José Gómez,6461099641,,True
76,Lucía Pérez,6469487674,lucia.perez3210@gmail.com,False
77,Carlos Ramírez,6468769270,carlos.ramirez7982@gmail.com,True
78,Fernanda Martínez,6461229828,fernanda.martinez3304@gmail.com,True
79,Laura Morales,6468532802,laura.morales6446@gmail.com,True
80,José Morales,6463893542,jose.morales2866@gmail.com,True
81,Andrés Gómez,6467201003,andres.gomez3902@gmail.com,False
82,Patricia Castro,6464203959,patricia.castro5155@gmail.com,True
83,Jorge Rojas,6466944332,,True
84,Ricardo Cruz,6466135975,ricardo.cruz7869@gmail.com,True
85,Laura Pérez,6469952270,laura.perez9906@gmail.com,True
